+--------------+--------------+
|      Pat No. |           94 |
+--------------+--------------+
|      Pic No. |            3 |
|         Mode |            1 |
|   Ratio Mode |            2 |
|  Ratio Value |        1.000 |
+--------------+--------------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  R-0 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  111 |  127 |   27 |  127 |   69 |  127 |  127 |  127 |  127 |   49 |  127 |  111 |   38 |    3 |   20 |  127 |   76 |   31 |  127 |   55 |   51 |  127 |  127 |  120 |  127 |  127 |  127 |   46 |   34 |  127 |    3 |  127 |
|    1 |   14 |  127 |  126 |   13 |  127 |  108 |  127 |   14 |  108 |  127 |  127 |   81 |  127 |  127 |   94 |  127 |  127 |   42 |   12 |  127 |   72 |    5 |  106 |  127 |  127 |   90 |  127 |  127 |  127 |  127 |   10 |   95 |
|    2 |  122 |   68 |  127 |   55 |  127 |  127 |  127 |   23 |  127 |  127 |   19 |  127 |  127 |  127 |  127 |  127 |  116 |   32 |  127 |  127 |  127 |   35 |  127 |  127 |  126 |   47 |  112 |   99 |  127 |   57 |  127 |   68 |
|    3 |   17 |  127 |    8 |  127 |   30 |  107 |   70 |   34 |   74 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   47 |  127 |  111 |  127 |    5 |  127 |  103 |  127 |   19 |   73 |  127 |  118 |  127 |   67 |  127 |  127 |
|    4 |  127 |  127 |   26 |  102 |   95 |  127 |   53 |  127 |   51 |  127 |  102 |  127 |  127 |  124 |   90 |    6 |  127 |   83 |  127 |  127 |   61 |   45 |  127 |  127 |    6 |  127 |   84 |   29 |  127 |  127 |  124 |   44 |
|    5 |   10 |  127 |  127 |   69 |   21 |  127 |   63 |   73 |  127 |  127 |  127 |   24 |   47 |   12 |   50 |    1 |   35 |   13 |  127 |   49 |  127 |  127 |   93 |  127 |  127 |  127 |  127 |   83 |  118 |  127 |  127 |  127 |
|    6 |   94 |  127 |  127 |   97 |  100 |  112 |  127 |  127 |  127 |  127 |   49 |  127 |  110 |   76 |   71 |   25 |   23 |  127 |  127 |   59 |  127 |   61 |  127 |  127 |  127 |   83 |   53 |  127 |  127 |   95 |   40 |   54 |
|    7 |   86 |  127 |   19 |  105 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  115 |  127 |  127 |   93 |   27 |  127 |  127 |   80 |  127 |    7 |  124 |  127 |   98 |   66 |  127 |
|    8 |  127 |  127 |  127 |  127 |   43 |  127 |  127 |  127 |  127 |   93 |  127 |   86 |  127 |  127 |   17 |   25 |  127 |  127 |   63 |   23 |  127 |  111 |  127 |   99 |  127 |   88 |   82 |  127 |  127 |  121 |  127 |  127 |
