+--------------+--------------+
|      Pat No. |           99 |
+--------------+--------------+
|      Pic No. |            4 |
|         Mode |            1 |
|   Ratio Mode |            0 |
|  Ratio Value |        0.250 |
+--------------+--------------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  R-0 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  127 |  127 |   98 |  127 |  124 |   17 |    7 |  127 |  112 |   67 |  127 |  127 |  127 |  127 |  127 |   98 |  127 |  116 |  127 |   95 |    7 |  127 |  127 |  127 |  101 |  127 |  113 |  127 |    7 |  109 |  127 |  126 |
|    1 |  110 |  127 |   69 |  127 |   43 |   34 |  127 |   91 |  127 |   72 |   31 |   81 |  127 |   49 |  127 |    5 |   24 |  105 |  127 |  127 |  127 |   26 |   71 |   94 |  127 |  111 |  127 |   10 |   18 |   57 |  127 |   52 |
|    2 |   39 |  121 |  127 |  127 |  127 |   15 |   20 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  119 |   98 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  109 |  127 |  127 |  127 |  127 |  113 |
|    3 |  127 |  127 |  127 |   98 |   37 |  127 |   63 |   93 |   42 |   94 |  127 |  127 |  126 |  127 |  108 |  127 |  127 |  125 |  127 |  127 |  127 |  127 |   51 |  123 |   13 |   91 |  127 |   21 |  127 |  127 |  127 |   74 |
|    4 |  127 |  127 |  127 |   26 |   41 |  127 |  103 |   28 |  127 |   73 |   95 |   17 |  127 |    1 |  127 |  127 |   29 |   94 |   31 |  110 |   93 |  127 |  113 |  127 |   24 |   50 |   47 |   22 |   37 |  127 |  127 |  127 |
|    5 |   62 |  127 |   79 |    3 |   11 |  127 |  127 |  127 |  124 |   47 |  104 |  127 |  103 |  111 |   92 |  127 |  127 |   18 |  127 |  127 |  127 |  127 |   34 |   93 |  127 |  116 |   51 |   65 |   65 |  127 |   72 |  127 |
|    6 |  117 |  127 |  127 |  122 |  127 |  127 |  127 |  127 |  127 |   19 |  108 |   67 |  127 |   45 |  127 |  127 |  127 |   26 |  127 |   29 |  127 |  127 |   35 |   85 |  127 |   35 |  127 |    6 |   98 |  127 |   84 |   53 |
|    7 |  127 |  127 |   70 |  127 |  127 |   81 |  127 |    5 |  127 |  127 |  127 |  127 |  118 |  127 |   46 |  127 |   32 |   15 |   52 |  101 |   23 |  127 |   84 |   89 |   72 |  116 |   97 |  117 |  127 |  127 |  127 |  127 |
|    8 |  127 |  127 |  127 |  127 |   37 |   29 |  113 |  127 |   88 |   26 |  127 |  127 |  127 |  115 |  127 |  127 |  127 |   23 |   67 |  127 |   79 |   28 |  127 |   99 |  127 |  101 |  127 |  127 |  112 |  127 |  127 |  111 |
|    9 |  127 |   34 |  127 |  127 |    2 |    9 |  127 |  127 |   99 |   92 |   37 |  103 |  108 |  127 |   64 |  127 |   57 |  127 |  127 |   33 |  127 |  127 |  127 |  127 |  127 |  117 |  127 |  127 |  127 |  114 |  127 |  127 |
|   10 |   28 |  127 |  118 |  101 |  127 |  107 |  127 |   69 |   86 |  127 |   91 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   72 |  127 |   17 |  127 |   66 |  127 |  127 |  127 |   58 |   90 |  100 |  127 |    7 |
|   11 |  127 |  127 |  127 |    2 |   59 |   99 |  127 |   97 |  127 |   24 |  101 |  127 |   80 |  127 |  127 |  127 |  104 |   84 |  127 |    3 |   30 |  127 |  127 |  127 |  127 |  127 |    8 |  127 |  127 |  127 |   87 |  127 |
|   12 |   76 |  127 |   96 |  127 |  106 |   95 |  127 |  114 |  100 |  127 |  127 |  127 |  127 |   85 |  127 |    1 |  127 |   46 |   54 |  127 |  127 |  127 |  127 |  127 |  127 |   59 |   47 |  107 |  127 |  127 |  127 |  127 |
|   13 |   51 |  127 |  127 |  125 |  127 |  127 |  127 |   67 |  127 |    6 |  127 |  127 |  127 |   86 |   19 |  119 |  127 |  127 |  127 |   60 |   64 |  127 |  127 |   53 |  127 |   84 |   19 |  127 |   49 |  127 |   51 |   90 |
|   14 |  106 |  127 |   41 |  127 |   70 |    2 |   98 |   31 |   22 |   78 |  127 |  127 |  125 |  127 |    3 |   81 |  127 |   83 |  107 |  127 |  127 |  127 |  127 |   12 |  127 |  127 |   86 |   53 |   39 |  120 |  127 |   79 |
|   15 |  127 |   45 |   53 |   63 |  127 |  127 |   35 |   71 |   29 |  127 |    4 |  127 |   61 |   56 |   97 |    5 |  127 |   22 |  120 |  127 |  127 |   27 |  127 |  115 |   54 |  127 |   77 |  127 |    3 |  127 |  127 |  104 |
|   16 |   76 |   78 |   38 |  127 |  127 |  104 |  127 |  127 |    7 |  127 |   70 |   69 |  103 |  127 |  127 |   92 |  127 |  116 |   31 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  121 |  127 |  113 |    3 |   11 |   81 |
|   17 |  127 |   39 |  124 |  127 |  127 |   49 |  127 |  127 |   16 |   27 |   36 |  127 |  127 |  127 |   13 |  127 |   69 |   10 |   65 |   71 |  127 |  127 |  127 |  127 |  127 |  102 |  127 |  118 |  127 |  125 |  101 |   68 |
|   18 |   67 |   94 |  127 |  127 |   64 |  127 |  127 |  104 |  127 |  127 |  127 |   37 |  127 |    3 |   57 |  127 |  127 |   56 |  101 |  127 |  127 |  127 |  127 |  111 |   17 |  119 |   65 |  127 |   93 |  127 |  127 |  127 |
|   19 |   93 |   12 |   12 |   49 |  127 |  127 |   22 |   97 |  127 |  127 |  117 |  127 |   95 |  127 |  127 |   58 |    1 |  127 |   70 |  127 |  127 |  127 |  127 |  127 |   48 |  127 |  127 |   83 |  127 |  127 |   30 |  127 |
|   20 |  127 |  127 |   34 |  127 |   91 |  127 |   91 |   92 |  127 |  126 |  103 |   36 |   64 |  127 |   37 |  127 |  127 |  127 |  127 |  127 |   68 |   54 |  127 |   22 |  127 |  127 |   29 |   84 |  127 |   29 |  127 |  127 |
|   21 |  102 |  107 |  127 |  127 |   38 |  109 |  117 |  127 |  127 |  127 |  127 |  127 |    6 |  127 |  127 |  127 |  127 |   88 |   65 |  127 |   89 |  127 |  127 |  127 |  127 |  127 |   71 |   98 |   38 |   83 |   51 |   17 |
|   22 |  127 |    2 |    7 |  127 |  106 |   95 |  127 |  127 |  127 |  127 |  114 |   15 |  127 |  127 |  127 |  123 |  127 |  127 |  127 |  127 |  127 |  127 |  102 |   75 |   48 |    1 |   70 |    0 |  127 |  127 |  127 |  127 |
|   23 |   99 |  127 |  127 |   53 |  127 |   45 |  127 |  126 |  127 |   87 |  126 |   21 |   24 |  127 |   51 |  127 |   83 |   21 |  112 |  127 |  127 |   23 |   10 |  127 |  127 |  127 |   97 |   40 |  127 |   55 |   99 |  127 |
|   24 |   24 |    1 |   40 |   83 |  123 |   83 |  127 |   12 |  111 |  127 |  127 |   44 |  127 |  127 |  127 |  127 |  127 |    0 |  120 |   33 |  127 |   91 |  102 |   77 |   71 |  127 |  118 |   45 |  127 |  127 |   48 |   10 |
|   25 |  127 |  127 |  104 |   12 |   49 |  123 |   42 |  127 |  127 |  127 |   11 |   83 |  103 |  127 |   18 |  127 |  127 |   37 |   86 |    8 |  127 |  127 |   38 |   90 |   66 |   77 |   87 |  127 |  127 |  127 |   91 |   71 |
